,nome,consumo_medio,desvio_consumo,tempo_medio,desvio_tempo,slope_individual,power,lang
7, reverse-complement,1.4368750000000001,0.01102199505534276,91.375,0.9921567416492215,0.015725034199726404,-1,C
151, reverse-complement,1.3450000000000002,0.017677669529663705,93.3125,1.1575161985907585,0.014413931681178837,25,C
115, reverse-complement,1.183125,0.025670690972391084,100.25,1.8874586088176875,0.011801745635910224,15,C
79, reverse-complement,1.0212500000000002,0.017275343701356582,113.6875,2.3642850399222173,0.00898295766904893,10,C
16, reverse-complement,1.88875,0.010532687216470433,148.3125,0.46351240544347894,0.012734934681837336,-1,C++
160, reverse-complement,1.86125,0.006959705453537534,148.5,0.5,0.012533670033670034,25,C++
124, reverse-complement,1.87125,0.006959705453537446,148.75,0.4330127018922193,0.01257983193277311,15,C++
88, reverse-complement,1.61375,0.012686114456365232,163.8125,1.5090870584562046,0.009851201831362075,10,C++
8, spectral-norm,9.746875000000001,0.033113205447373936,305.875,0.4841229182759271,0.03186554965263588,-1,C
152, spectral-norm,8.461875,0.02627231194622979,339.5,0.7071067811865476,0.024924521354933723,25,C
43, reverse-complement,0.8312499999999999,0.008569568250501314,350.1875,2.242173889331512,0.002373728359807246,2,C
17, spectral-norm,8.5175,0.02657536453183659,352.5,0.6123724356957945,0.024163120567375886,-1,C++
161, spectral-norm,8.440625,0.02946793808531585,352.625,0.4841229182759271,0.0239365473236441,25,C++
116, spectral-norm,6.224375,0.00863767185067848,414.8125,0.8076779989575054,0.01500527346692783,15,C
125, spectral-norm,6.4506250000000005,0.012975337182516406,430.4375,0.9333240326917549,0.014986205895164804,15,C++
89, spectral-norm,5.2524999999999995,0.008291561975888323,525.5625,0.9333240326917549,0.009994053989772862,10,C++
80, spectral-norm,5.334375,0.01321398406991606,533.1875,1.184205957593526,0.010004688782088851,10,C
26, spectral-norm,13.515625,0.06595156840439777,536.875,8.447447839436476,0.025174621653084983,-1,Java
170, spectral-norm,12.79625,0.17648919938625132,560.0,10.523782589924593,0.02285044642857143,25,Java
52, reverse-complement,1.3025000000000002,0.008291561975888507,625.0,1.3228756555322954,0.0020840000000000003,2,C++
155, fasta,9.67125,0.02394655507583487,658.9375,0.24206145913796356,0.014677036896519018,25,C++
11, fasta,9.803125000000001,0.024677608777999717,659.0625,0.5555121510822243,0.014874348032242772,-1,C++
119, fasta,9.69625,0.01899835519196362,660.3125,0.582961190818051,0.01468433506862281,15,C++
2, fasta,6.783125,0.03440907402125203,663.9375,0.5555121510822243,0.010216511343311682,-1,C
146, fasta,6.635625,0.04782373234075328,664.125,0.7806247497997998,0.009991530208921514,25,C
110, fasta,6.6068750000000005,0.01043955818030645,664.3125,0.6817945071647321,0.00994543230783705,15,C
74, fasta,6.519375,0.04904956039558353,665.375,1.2183492931011204,0.009798046214540673,10,C
134, spectral-norm,9.736875,0.05763232057621846,667.75,4.220485754033533,0.014581617371770871,15,Java
6, regex-redux,16.08875,0.06799586384479579,686.625,1.0532687216470449,0.023431640269433826,-1,C
