,nome,consumo_medio,desvio_consumo,tempo_medio,desvio_tempo,slope_individual,power,lang
0, binary-trees,25.15280532836914,0.07589652339540329,980.1875,2.9414866564375233,0.025661218214238744,-1,C
1, fannkuch-redux,53.567447662353516,0.11012431704180302,1973.0625,2.276750700010873,0.027149392207471135,-1,C
2, fasta,6.468624114990234,0.0483991541741595,666.6875,1.260890062614501,0.00970263296520519,-1,C
3, k-nucleotide,77.63758850097656,1.5931452857819424,2903.125,139.45647842606667,0.026742764607440798,-1,C
4, mandelbrot,26.821300506591797,0.05920657209275547,947.9375,2.276750700010873,0.028294376482196133,-1,C
5, n-body,19.673675537109375,0.1002605229744616,1731.625,1.964529205687714,0.01136139495393597,-1,C
6, regex-redux,15.80721664428711,0.06439392292884727,691.5,2.4238399287081647,0.022859315465346506,-1,C
7, reverse-complement,1.4605293273925781,0.011567746635140408,94.3125,0.6817945071647321,0.01548606311350646,-1,C
8, spectral-norm,9.657176971435547,0.04904168736656437,308.6875,1.9595519258238603,0.031284638903212945,-1,C
9, binary-trees,23.612377166748047,0.40122082414119803,812.3125,22.331924318114638,0.029068095304144708,-1,C++
10, fannkuch-redux,88.51559829711914,0.09483798338843037,3533.375,1.8666480653835098,0.02505128900756901,-1,C++
11, fasta,9.518028259277344,0.03956685431334323,663.125,2.4462982238476156,0.01435329426469722,-1,C++
12, k-nucleotide,38.00335693359375,0.3075000729223975,1750.75,18.829830057650547,0.021706901004480222,-1,C++
13, mandelbrot,21.910812377929688,0.07500131309124732,745.6875,2.2836032383056386,0.029383370886503647,-1,C++
14, n-body,20.439659118652344,0.05054682428627919,1720.6875,1.8614090764794289,0.011878774686660038,-1,C++
15, regex-redux,18.18874740600586,0.11690549091748323,1004.75,25.74271741677634,0.018102759299334022,-1,C++
16, reverse-complement,1.8708534240722656,0.01025741309983969,151.1875,1.1301963325015703,0.012374392222057152,-1,C++
17, spectral-norm,8.426555633544922,0.046483995525981,355.25,1.346291201783626,0.02372007215635446,-1,C++
18, binary-trees,57.656070709228516,0.613600327267309,2012.3125,19.898865388508963,0.028651648642657894,-1,Java
19, fannkuch-redux,263.7835159301758,4.788717301400236,7982.0,150.84346190670644,0.03304729590706287,-1,Java
20, fasta,22.91118621826172,0.4135230745913278,1089.6875,28.510346257981507,0.021025464840389304,-1,Java
21, k-nucleotide,102.34702682495117,1.2715504712108128,3781.5625,44.84691844207359,0.02706474554498337,-1,Java
22, mandelbrot,83.59164428710938,0.622152157673767,3268.375,22.890704991327812,0.025575903709675107,-1,Java
23, n-body,45.69679260253906,0.23232515560585007,4050.9375,12.02325221186015,0.011280547429462702,-1,Java
24, regex-redux,112.40547943115234,1.0682152752211689,4300.75,61.27652486882722,0.026136250521688623,-1,Java
25, reverse-complement,9.322212219238281,0.04784860346364418,706.3125,2.8878787630369804,0.013198424520645296,-1,Java
26, spectral-norm,13.444435119628906,0.10165032586372255,541.9375,7.87772770219941,0.024808091559688907,-1,Java
27, binary-trees,975.2953910827637,4.127735864027136,31099.8125,108.12910035577842,0.0313601694892136,-1,Python
28, fannkuch-redux,8090.808044433594,57.840142211657174,234269.0625,1173.0893225128896,0.034536391438513545,-1,Python
29, fasta,544.7988319396973,2.488228029264022,43312.5625,58.40159324667436,0.012578309859632463,-1,Python
30, k-nucleotide,1232.292610168457,5.19690673265593,35780.875,158.93586560307904,0.03443997974248693,-1,Python
31, mandelbrot,3777.314350128174,39.99626509884503,100289.6875,499.743899256159,0.03766403549844717,-1,Python
32, n-body,3232.386821746826,21.241318869557897,240254.0625,2362.271800321409,0.013454036065453945,-1,Python
33, regex-redux,128.0119743347168,0.3279174777271538,7135.1875,13.163485243278089,0.01794094049171333,-1,Python
34, reverse-complement,24.341014862060547,0.0808940013363547,1419.25,3.6827299656640586,0.017150618187113296,-1,Python
35, spectral-norm,2861.3146438598633,14.93849275787043,75928.25,425.11814534315045,0.03768445399255038,-1,Python
36, binary-trees,14.354351043701172,0.14582655340793624,4407.8125,54.834089248842275,0.0032565702474189116,2,C
37, fannkuch-redux,29.605449676513672,0.18068022877140139,8936.9375,16.566037358101063,0.0033127063579121677,2,C
38, fasta,3.9832382202148438,0.19465143730198214,2079.125,260.51076633221896,0.0019158243108109631,2,C
39, k-nucleotide,40.15555953979492,0.3483548877903783,11245.9375,62.81965133419637,0.003570672479710555,2,C
40, mandelbrot,13.92190170288086,0.15157988888610294,4288.0,3.840572873934304,0.0032467121508584092,2,C
41, n-body,11.54229736328125,0.2431680054708782,5882.0625,123.85499018509509,0.001962287439700148,2,C
42, regex-redux,8.725563049316406,0.06199056487958499,3122.25,7.00446286306095,0.002794639458504734,2,C
43, reverse-complement,0.7858238220214844,0.006455512672418817,358.5625,1.3213984069916234,0.0021915951110935594,2,C
44, spectral-norm,4.986965179443359,0.008692528318722222,1394.1875,1.8103435447450298,0.003576968793252959,2,C
45, binary-trees,12.563270568847656,0.18805407063393637,3472.125,65.4617015895554,0.0036183232368787576,2,C++
46, fannkuch-redux,49.535369873046875,0.139172811100091,15997.1875,12.001139268836106,0.003096504924571702,2,C++
47, fasta,5.790687561035156,0.048240877603786134,2981.8125,56.1251043985666,0.001942002577638653,2,C++
48, k-nucleotide,19.34943389892578,0.09314630485886993,6276.5,24.685522072664373,0.0030828381899029368,2,C++
49, mandelbrot,11.26901626586914,0.06926401521190202,3373.375,7.279036680770334,0.0033405762080614045,2,C++
50, n-body,12.579402923583984,0.1805496607122937,6412.9375,96.01983437680988,0.0019615664309193697,2,C++
51, regex-redux,10.939434051513672,0.11084792178867478,4606.0625,64.19255092103757,0.002375007731986631,2,C++
52, reverse-complement,1.1963653564453125,0.013232396889413139,636.5625,3.020114857087392,0.001879415385677467,2,C++
53, spectral-norm,4.908660888671875,0.02802630432540823,1604.75,1.8200274723201295,0.0030588321474820843,2,C++
54, binary-trees,26.43600082397461,0.8559060269147944,7540.625,261.0981316957285,0.003505810304049679,2,Java
55, fannkuch-redux,133.39518356323242,2.0625996542690546,35929.375,624.4025018968133,0.0037127053716696275,2,Java
56, fasta,12.569503784179688,0.11273201724030221,4467.4375,9.420514516203454,0.002813582458440591,2,Java
57, k-nucleotide,55.41810607910156,0.951905598973423,16997.6875,208.20564316019392,0.0032603320939452243,2,Java
58, mandelbrot,45.071372985839844,0.4610558232055937,14394.625,128.69725861493708,0.0031311251933162443,2,Java
59, n-body,27.526321411132812,0.6151383796232832,14026.25,310.41474272334426,0.001962486153543022,2,Java
60, regex-redux,59.68573760986328,0.47916420164518386,19145.0,174.95570868079727,0.003117562685289281,2,Java
