Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time(ms),Temperature,Memory,Perf
C, binary-trees, -1, 25.58, 25.06, 1.15, 0.00, 978, 54.8, , 1
C, binary-trees, -1, 25.60, 25.09, 1.14, 0.00, 977, 54.8, , 1
C, binary-trees, -1, 27.18, 26.61, 1.21, 0.00, 1104, 55.0, , 1
C, binary-trees, -1, 25.94, 25.42, 1.14, 0.00, 994, 55.8, , 1
C, binary-trees, -1, 25.59, 25.08, 1.13, 0.00, 973, 55.8, , 1
C, binary-trees, -1, 25.55, 25.04, 1.14, 0.00, 975, 55.8, , 1
C, binary-trees, -1, 25.53, 25.02, 1.14, 0.00, 975, 55.8, , 1
C, binary-trees, -1, 25.59, 25.09, 1.13, 0.00, 974, 56.8, , 1
C, binary-trees, -1, 25.57, 25.06, 1.14, 0.00, 974, 56.8, , 1
C, binary-trees, -1, 25.47, 24.95, 1.14, 0.00, 975, 56.5, , 1
C, binary-trees, -1, 25.46, 24.95, 1.14, 0.00, 978, 56.5, , 1
C, binary-trees, -1, 25.64, 25.13, 1.14, 0.00, 979, 57.2, , 1
C, binary-trees, -1, 25.49, 24.98, 1.14, 0.00, 976, 56.8, , 1
C, binary-trees, -1, 25.43, 24.91, 1.14, 0.00, 975, 56.8, , 1
C, binary-trees, -1, 25.50, 24.99, 1.14, 0.00, 975, 56.8, , 1
C, binary-trees, -1, 25.46, 24.95, 1.14, 0.00, 976, 56.8, , 1
C, binary-trees, -1, 25.55, 25.02, 1.14, 0.00, 976, 57.5, , 1
C, binary-trees, -1, 25.47, 24.95, 1.15, 0.00, 977, 57.5, , 1
C, binary-trees, -1, 25.42, 24.89, 1.15, 0.00, 978, 57.2, , 1
C, binary-trees, -1, 25.51, 25.00, 1.15, 0.00, 976, 57.2, , 1
C, fannkuch-redux, -1, 54.44, 53.73, 1.01, 0.00, 1969, 59.2, , 1
C, fannkuch-redux, -1, 54.30, 53.59, 1.01, 0.00, 1969, 59.0, , 1
C, fannkuch-redux, -1, 54.55, 53.84, 1.01, 0.00, 1969, 59.5, , 1
C, fannkuch-redux, -1, 54.60, 53.88, 1.01, 0.00, 1969, 59.0, , 1
C, fannkuch-redux, -1, 54.45, 53.75, 1.01, 0.00, 1969, 59.2, , 1
C, fannkuch-redux, -1, 54.57, 53.87, 1.01, 0.00, 1969, 59.2, , 1
C, fannkuch-redux, -1, 54.54, 53.83, 1.01, 0.00, 1969, 59.8, , 1
C, fannkuch-redux, -1, 54.61, 53.89, 1.01, 0.00, 1969, 59.8, , 1
C, fannkuch-redux, -1, 54.59, 53.89, 1.01, 0.00, 1969, 59.8, , 1
C, fannkuch-redux, -1, 54.55, 53.85, 1.01, 0.00, 1969, 60.2, , 1
C, fannkuch-redux, -1, 54.48, 53.77, 1.01, 0.00, 1969, 60.0, , 1
C, fannkuch-redux, -1, 54.49, 53.78, 1.01, 0.00, 1969, 60.0, , 1
C, fannkuch-redux, -1, 54.63, 53.92, 1.01, 0.00, 1968, 60.5, , 1
C, fannkuch-redux, -1, 54.58, 53.88, 1.01, 0.00, 1968, 60.0, , 1
C, fannkuch-redux, -1, 54.59, 53.89, 1.01, 0.00, 1968, 60.2, , 1
C, fannkuch-redux, -1, 54.60, 53.90, 1.01, 0.00, 1969, 60.2, , 1
C, fannkuch-redux, -1, 54.75, 54.04, 1.01, 0.00, 1972, 60.5, , 1
C, fannkuch-redux, -1, 54.57, 53.86, 1.01, 0.00, 1968, 60.5, , 1
C, fannkuch-redux, -1, 54.67, 53.97, 1.01, 0.00, 1968, 60.2, , 1
C, fannkuch-redux, -1, 54.63, 53.93, 1.01, 0.00, 1968, 60.5, , 1
C, fasta, -1, 6.80, 6.57, 0.34, 0.00, 664, 52.5, , 1
C, fasta, -1, 6.76, 6.53, 0.34, 0.00, 663, 56.5, , 1
C, fasta, -1, 6.80, 6.56, 0.34, 0.00, 664, 56.5, , 1
C, fasta, -1, 6.75, 6.51, 0.34, 0.00, 663, 56.2, , 1
