Language, Program, PowerLimit, PSys, Package, Core, GPU, DRAM, Time(ms), User Time, System Time, Temperature, Memory, Perf
C, binary-trees, -1,  45.98, 25.39, 24.87, 0.00, 1.14, 977, 2636, 200, 48.8, , 1
C, binary-trees, -1,  46.52, 25.53, 25.01, 0.00, 1.15, 980, 2645, 195, 49.8, , 1
C, binary-trees, -1,  46.25, 25.26, 24.75, 0.00, 1.14, 975, 2638, 194, 49.5, , 1
C, binary-trees, -1,  46.34, 25.30, 24.79, 0.00, 1.14, 979, 2633, 205, 49.5, , 1
C, binary-trees, -1,  46.50, 25.28, 24.77, 0.00, 1.14, 976, 2625, 209, 50.0, , 1
C, binary-trees, -1,  46.52, 25.28, 24.77, 0.00, 1.15, 976, 2646, 188, 50.5, , 1
C, binary-trees, -1,  46.64, 25.30, 24.78, 0.00, 1.15, 978, 2631, 203, 50.8, , 1
C, binary-trees, -1,  46.59, 25.38, 24.86, 0.00, 1.15, 982, 2641, 197, 51.2, , 1
C, binary-trees, -1,  46.23, 25.30, 24.79, 0.00, 1.16, 977, 2626, 203, 50.5, , 1
C, binary-trees, -1,  46.09, 25.22, 24.71, 0.00, 1.15, 978, 2627, 209, 51.2, , 1
C, binary-trees, -1,  46.29, 25.18, 24.67, 0.00, 1.15, 977, 2627, 208, 51.2, , 1
C, binary-trees, -1,  46.60, 25.21, 24.69, 0.00, 1.15, 977, 2628, 205, 51.2, , 1
C, binary-trees, -1,  46.75, 25.28, 24.75, 0.00, 1.15, 978, 2627, 208, 51.0, , 1
C, binary-trees, -1,  46.59, 25.17, 24.66, 0.00, 1.14, 976, 2646, 195, 51.2, , 1
C, binary-trees, -1,  46.72, 25.23, 24.70, 0.00, 1.18, 980, 2629, 206, 51.0, , 1
C, binary-trees, -1,  46.98, 25.18, 24.66, 0.00, 1.15, 978, 2630, 208, 51.8, , 1
C, binary-trees, -1,  46.58, 25.07, 24.56, 0.00, 1.15, 976, 2634, 194, 52.2, , 1
C, binary-trees, -1,  46.44, 25.12, 24.60, 0.00, 1.14, 975, 2635, 195, 52.2, , 1
C, binary-trees, -1,  46.88, 25.17, 24.65, 0.00, 1.15, 979, 2658, 188, 52.5, , 1
