Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time(ms),Temperature,Memory,Perf
C, binary-trees, -1, 22.924438476562500000, 22.560546875000000000, 0.0, 0.0, 994, 40.2, 134400, 0
C, binary-trees, -1, 22.874206542968750000, 22.509460449218750000, 0.0, 0.0, 977, 40.8, 134400, 0
C, binary-trees, -1, 22.819213867187500000, 22.449890136718750000, 0.0, 0.0, 978, 40.8, 134400, 0
C, binary-trees, -1, 22.768493652343750000, 22.390441894531250000, 0.0, 0.0, 977, 40.8, 134400, 0
C, binary-trees, -1, 22.724487304687500000, 22.362182617187500000, 0.0, 0.0, 981, 41.5, 134400, 0
C, binary-trees, -1, 22.721252441406250000, 22.354309082031250000, 0.0, 0.0, 980, 41.5, 134400, 0
C, binary-trees, -1, 22.776794433593750000, 22.406494140625000000, 0.0, 0.0, 981, 41.0, 134400, 0
C, binary-trees, -1, 22.634826660156250000, 22.267272949218750000, 0.0, 0.0, 980, 41.0, 134272, 0
C, binary-trees, -1, 22.575561523437500000, 22.206237792968750000, 0.0, 0.0, 981, 41.8, 134400, 0
C, binary-trees, -1, 22.634277343750000000, 22.271850585937500000, 0.0, 0.0, 983, 41.8, 134272, 0
C, binary-trees, -1, 22.555847167968750000, 22.192749023437500000, 0.0, 0.0, 979, 41.8, 134400, 0
C, binary-trees, -1, 22.581054687500000000, 22.222595214843750000, 0.0, 0.0, 979, 41.8, 134400, 0
C, binary-trees, -1, 22.570739746093750000, 22.210021972656250000, 0.0, 0.0, 982, 42.2, 134400, 0
C, binary-trees, -1, 22.504699707031250000, 22.134643554687500000, 0.0, 0.0, 982, 42.2, 134400, 0
C, binary-trees, -1, 22.435424804687500000, 22.072021484375000000, 0.0, 0.0, 979, 41.8, 134400, 0
C, binary-trees, -1, 22.427307128906250000, 22.066772460937500000, 0.0, 0.0, 982, 41.8, 134400, 0
C, binary-trees, -1, 22.436767578125000000, 22.076293945312500000, 0.0, 0.0, 980, 42.5, 134400, 0
C, binary-trees, -1, 22.482299804687500000, 22.118041992187500000, 0.0, 0.0, 983, 42.5, 134400, 0
C, binary-trees, -1, 22.424011230468750000, 22.053405761718750000, 0.0, 0.0, 978, 42.5, 134400, 0
C, binary-trees, -1, 22.371093750000000000, 22.012207031250000000, 0.0, 0.0, 980, 42.5, 134400, 0
C, fannkuch-redux, -1, 48.259399414062500000, 47.666687011718750000, 0.0, 0.0, 1972, 43.0, 1664, 0
C, fannkuch-redux, -1, 48.222717285156250000, 47.621215820312500000, 0.0, 0.0, 1980, 43.5, 1664, 0
C, fannkuch-redux, -1, 48.231262207031250000, 47.645263671875000000, 0.0, 0.0, 1970, 44.5, 1664, 0
C, fannkuch-redux, -1, 48.176818847656250000, 47.582336425781250000, 0.0, 0.0, 1970, 44.5, 1664, 0
C, fannkuch-redux, -1, 48.171752929687500000, 47.572021484375000000, 0.0, 0.0, 1974, 44.2, 1664, 0
C, fannkuch-redux, -1, 48.161132812500000000, 47.563415527343750000, 0.0, 0.0, 1971, 43.8, 1664, 0
C, fannkuch-redux, -1, 47.930053710937500000, 47.341003417968750000, 0.0, 0.0, 1970, 45.0, 1664, 0
C, fannkuch-redux, -1, 47.919799804687500000, 47.331909179687500000, 0.0, 0.0, 1970, 44.5, 1664, 0
C, fannkuch-redux, -1, 48.109924316406250000, 47.505920410156250000, 0.0, 0.0, 1973, 45.0, 1664, 0
C, fannkuch-redux, -1, 48.026062011718750000, 47.429382324218750000, 0.0, 0.0, 1970, 44.8, 1664, 0
C, fannkuch-redux, -1, 48.031860351562500000, 47.435119628906250000, 0.0, 0.0, 1970, 45.2, 1664, 0
C, fannkuch-redux, -1, 49.130493164062500000, 48.511718750000000000, 0.0, 0.0, 2025, 44.5, 1664, 0
C, fannkuch-redux, -1, 47.923095703125000000, 47.330139160156250000, 0.0, 0.0, 1970, 46.0, 1664, 0
C, fannkuch-redux, -1, 47.907775878906250000, 47.319824218750000000, 0.0, 0.0, 1970, 45.5, 1664, 0
