Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time(ms),Temperature,Memory,Perf
C, binary-trees, -1, 22.64, 22.27, 1.08, 0.00, 998, 44.2, , 1
C, binary-trees, -1, 22.67, 22.30, 1.07, 0.00, 975, 44.2, , 1
C, binary-trees, -1, 22.81, 22.44, 1.07, 0.00, 974, 44.8, , 1
C, binary-trees, -1, 22.68, 22.31, 1.07, 0.00, 976, 46.0, , 1
C, binary-trees, -1, 22.60, 22.24, 1.07, 0.00, 978, 46.0, , 1
C, binary-trees, -1, 22.57, 22.21, 1.07, 0.00, 971, 46.2, , 1
C, binary-trees, -1, 22.59, 22.22, 1.08, 0.00, 975, 46.2, , 1
C, binary-trees, -1, 22.77, 22.40, 1.08, 0.00, 981, 46.8, , 1
C, binary-trees, -1, 22.46, 22.09, 1.08, 0.00, 973, 46.8, , 1
C, binary-trees, -1, 22.28, 21.91, 1.07, 0.00, 972, 46.5, , 1
C, binary-trees, -1, 22.37, 22.00, 1.08, 0.00, 974, 46.5, , 1
C, binary-trees, -1, 22.54, 22.18, 1.08, 0.00, 974, 47.2, , 1
C, binary-trees, -1, 22.42, 22.05, 1.07, 0.00, 972, 47.2, , 1
C, binary-trees, -1, 22.37, 22.02, 1.07, 0.00, 974, 47.0, , 1
C, binary-trees, -1, 22.39, 22.03, 1.07, 0.00, 972, 47.0, , 1
C, binary-trees, -1, 22.32, 21.95, 1.07, 0.00, 972, 46.5, , 1
C, binary-trees, -1, 22.31, 21.95, 1.07, 0.00, 974, 46.5, , 1
C, binary-trees, -1, 22.39, 22.02, 1.08, 0.00, 974, 47.5, , 1
C, binary-trees, -1, 22.33, 21.97, 1.07, 0.00, 973, 47.5, , 1
C, binary-trees, -1, 22.36, 21.99, 1.08, 0.00, 975, 47.8, , 1
C, fannkuch-redux, -1, 47.72, 47.12, 0.99, 0.00, 1969, 48.0, , 1
C, fannkuch-redux, -1, 47.66, 47.06, 0.99, 0.00, 1970, 48.2, , 1
C, fannkuch-redux, -1, 47.63, 47.03, 0.99, 0.00, 1969, 48.8, , 1
C, fannkuch-redux, -1, 47.57, 46.97, 0.99, 0.00, 1969, 48.8, , 1
C, fannkuch-redux, -1, 47.63, 47.04, 0.99, 0.00, 1969, 49.0, , 1
C, fannkuch-redux, -1, 47.65, 47.05, 0.99, 0.00, 1968, 48.8, , 1
C, fannkuch-redux, -1, 47.60, 47.01, 1.00, 0.00, 1968, 49.8, , 1
C, fannkuch-redux, -1, 47.69, 47.09, 0.99, 0.00, 1968, 49.5, , 1
