Language, Program, PowerLimit, PSys, Package, Core, GPU, DRAM, Time(ms), User Time, System Time, Temperature, Memory, Perf
C, binary-trees, -1,  36.70, 23.02, 22.65, 0.00, 1.08, 978, 2634, 204, 36.2, , 1
C, binary-trees, -1,  36.60, 22.94, 22.58, 0.00, 1.08, 975, 2641, 189, 36.2, , 1
C, binary-trees, -1,  36.74, 22.93, 22.56, 0.00, 1.08, 977, 2630, 208, 36.8, , 1
C, fannkuch-redux, -1,  75.40, 49.26, 48.67, 0.00, 0.99, 1968, 7811, 0, 37.8, , 1
C, fannkuch-redux, -1,  75.44, 49.08, 48.49, 0.00, 0.99, 1968, 7811, 1, 38.0, , 1
C, fannkuch-redux, -1,  75.29, 49.16, 48.57, 0.00, 0.99, 1968, 7809, 1, 38.0, , 1
C, fannkuch-redux, -1,  75.88, 49.01, 48.42, 0.00, 0.99, 1968, 7809, 2, 38.0, , 1
C, fannkuch-redux, -1,  75.74, 49.03, 48.44, 0.00, 0.99, 1972, 7810, 2, 37.8, , 1
C, fannkuch-redux, -1,  75.63, 48.96, 48.37, 0.00, 0.99, 1968, 7812, 0, 39.0, , 1
C, fannkuch-redux, -1,  75.37, 48.92, 48.32, 0.00, 0.99, 1969, 7813, 0, 38.5, , 1
C, fannkuch-redux, -1,  75.32, 48.81, 48.22, 0.00, 0.99, 1968, 7811, 0, 38.8, , 1
C, fannkuch-redux, -1,  76.16, 49.01, 48.42, 0.00, 1.00, 1968, 7810, 1, 38.8, , 1
C, fannkuch-redux, -1,  76.27, 49.00, 48.40, 0.00, 0.99, 1969, 7812, 0, 39.0, , 1
C, fannkuch-redux, -1,  75.38, 48.86, 48.27, 0.00, 0.99, 1967, 7813, 1, 39.5, , 1
C, fannkuch-redux, -1,  75.72, 49.04, 48.45, 0.00, 0.99, 1968, 7812, 0, 39.2, , 1
C, fannkuch-redux, -1,  75.78, 49.10, 48.52, 0.00, 0.99, 1969, 7813, 0, 39.5, , 1
C, fannkuch-redux, -1,  75.82, 49.17, 48.57, 0.00, 0.99, 1969, 7812, 0, 39.2, , 1
C, fannkuch-redux, -1,  75.52, 49.31, 48.72, 0.00, 0.99, 1968, 7812, 0, 39.8, , 1
C, fannkuch-redux, -1,  75.57, 49.35, 48.76, 0.00, 0.99, 1968, 7811, 1, 39.8, , 1
C, fannkuch-redux, -1,  75.60, 49.17, 48.57, 0.00, 0.99, 1969, 7814, 7814, 39.8, , 1
C, fannkuch-redux, -1,  76.03, 49.16, 48.55, 0.00, 0.99, 1970, 7814, 7814, 40.2, , 1
C, fannkuch-redux, -1,  75.69, 49.28, 48.69, 0.00, 0.99, 1968, 7810, 2, 39.8, , 1
