Language, Program, PowerLimit, PSys, Package, Core, GPU, DRAM, Time(ms), User Time, System Time, Temperature, Memory, Perf
C, binary-trees, -1,  57.88, 29.62, 28.78, 0.00, 1.84, 2627, 2410, 203, 42.0, , 1
C, binary-trees, -1,  58.27, 29.85, 29.00, 0.00, 1.84, 2628, 2420, 194, 42.0, , 1
C, binary-trees, -1,  58.26, 29.73, 28.88, 0.00, 1.84, 2614, 2400, 196, 43.0, , 1
C, binary-trees, -1,  57.72, 29.45, 28.61, 0.00, 1.83, 2610, 2401, 194, 43.0, , 1
C, binary-trees, -1,  58.83, 29.99, 29.13, 0.00, 1.87, 2661, 2454, 195, 43.0, , 1
C, binary-trees, -1,  58.27, 29.44, 28.57, 0.00, 1.85, 2618, 2394, 202, 43.0, , 1
C, binary-trees, -1,  58.24, 29.32, 28.47, 0.00, 1.86, 2622, 2413, 185, 43.0, , 1
C, binary-trees, -1,  60.21, 30.49, 29.63, 0.00, 1.88, 2692, 2483, 196, 43.0, , 1
C, binary-trees, -1,  59.70, 30.10, 29.23, 0.00, 1.88, 2698, 2497, 188, 43.0, , 1
C, binary-trees, -1,  59.63, 30.07, 29.20, 0.00, 1.88, 2669, 2390, 204, 44.0, , 1
C, binary-trees, -1,  58.28, 29.55, 28.70, 0.00, 1.84, 2613, 2414, 185, 44.0, , 1
C, binary-trees, -1,  57.79, 29.39, 28.54, 0.00, 1.84, 2614, 2403, 197, 44.0, , 1
C, binary-trees, -1,  57.81, 29.32, 28.48, 0.00, 1.83, 2609, 2423, 173, 44.0, , 1
C, binary-trees, -1,  57.97, 29.48, 28.63, 0.00, 1.84, 2612, 2411, 186, 44.0, , 1
C, binary-trees, -1,  62.28, 31.56, 30.66, 0.00, 1.93, 2800, 2608, 179, 44.0, , 1
C, binary-trees, -1,  58.35, 29.59, 28.73, 0.00, 1.85, 2633, 2418, 203, 44.0, , 1
C, binary-trees, -1,  57.96, 29.49, 28.65, 0.00, 1.84, 2617, 2407, 189, 44.0, , 1
C, binary-trees, -1,  58.04, 29.49, 28.65, 0.00, 1.84, 2609, 2403, 192, 43.0, , 1
C, binary-trees, -1,  58.13, 29.43, 28.59, 0.00, 1.84, 2608, 2399, 197, 44.0, , 1
C, binary-trees, -1,  58.29, 29.46, 28.60, 0.00, 1.88, 2625, 2406, 196, 44.0, , 1
C, fannkuch-redux, -1,  149.06, 70.19, 67.94, 0.00, 3.79, 7511, 7404, 3, 44.0, , 1
C, fannkuch-redux, -1,  147.70, 69.22, 67.00, 0.00, 3.73, 7418, 7408, 7408, 45.0, , 1
C, fannkuch-redux, -1,  147.49, 69.42, 67.20, 0.00, 3.73, 7413, 7407, 7407, 44.0, , 1
C, fannkuch-redux, -1,  147.37, 70.04, 67.81, 0.00, 3.73, 7414, 7406, 0, 44.0, , 1
C, fannkuch-redux, -1,  147.34, 69.65, 67.42, 0.00, 3.74, 7416, 7406, 0, 44.0, , 1
C, fannkuch-redux, -1,  148.02, 69.59, 67.36, 0.00, 3.75, 7444, 7406, 0, 45.0, , 1
C, fannkuch-redux, -1,  147.15, 69.54, 67.30, 0.00, 3.74, 7423, 7407, 0, 45.0, , 1
C, fannkuch-redux, -1,  147.09, 69.84, 67.60, 0.00, 3.74, 7423, 7405, 1, 44.0, , 1
C, fannkuch-redux, -1,  147.88, 70.47, 68.24, 0.00, 3.74, 7420, 7405, 1, 44.0, , 1
C, fannkuch-redux, -1,  146.99, 69.51, 67.29, 0.00, 3.73, 7417, 7406, 0, 45.0, , 1
C, fannkuch-redux, -1,  146.93, 69.36, 67.14, 0.00, 3.73, 7418, 7406, 0, 45.0, , 1
