,nome,consumo_medio,desvio_consumo,tempo_medio,desvio_tempo,slope_individual,power,lang
0, binary-trees,22.603065490722656,0.1250968998503468,980.4375,1.6944302139657448,0.02305406055023666,-1,C
1, fannkuch-redux,48.140342712402344,0.13630535582360098,1971.375,2.521780125229002,0.024419677997540978,-1,C
2, fasta,5.366722106933594,0.014050103309736639,665.75,0.75,0.008061167265390303,-1,C
3, k-nucleotide,68.93850708007812,0.61369111744514,2912.1875,74.22619041652347,0.02367241363410774,-1,C
4, mandelbrot,23.099666595458984,0.03713751321378716,946.4375,1.6189792308735773,0.02440696463893177,-1,C
5, n-body,16.21746826171875,0.07634082117076174,1727.75,2.222048604328897,0.009386466943550137,-1,C
6, regex-redux,13.739799499511719,0.04869561274655654,698.8125,1.8103435447450298,0.01966163956642407,-1,C
7, reverse-complement,1.3384971618652344,0.019995843652306756,106.3125,1.5699820858850588,0.01259021433853248,-1,C
8, spectral-norm,8.4468994140625,0.028291021194957834,309.125,1.6909686573085854,0.027325190178932472,-1,C
9, binary-trees,21.75287628173828,0.320757460808211,884.9375,22.487409671858607,0.024581257186793735,-1,C++
10, fannkuch-redux,77.1209945678711,0.08650371807676095,3529.6875,1.7929985359726315,0.021849241488905487,-1,C++
11, fasta,7.6376800537109375,0.01698593841391666,662.375,1.964529205687714,0.011530749279050293,-1,C++
12, k-nucleotide,36.242706298828125,0.2147292634059568,2073.0625,17.897167199029013,0.017482688678623112,-1,C++
13, mandelbrot,18.780994415283203,0.03725587149122399,744.1875,1.3792547806696194,0.02523691195469314,-1,C++
14, n-body,16.801712036132812,0.11722575497086947,1716.0,2.1213203435596424,0.009791207480263877,-1,C++
15, regex-redux,15.78818130493164,0.04315967283297318,1027.5,6.680194607943694,0.015365626574142716,-1,C++
16, reverse-complement,1.6272697448730469,0.00859600110129115,161.25,0.4330127018922193,0.010091595317042151,-1,C++
17, spectral-norm,7.3345489501953125,0.030717223397009896,354.625,1.2183492931011204,0.020682549031216954,-1,C++
18, binary-trees,59.46963119506836,0.4706005685962148,2777.1875,26.72362894050881,0.0214136176239697,-1,Java
19, fannkuch-redux,231.39476776123047,4.602566322109703,8103.1875,158.7278404809629,0.028556017957282916,-1,Java
20, fasta,19.270263671875,0.26577386821719884,1082.9375,19.89493889787048,0.01779443751082126,-1,Java
21, k-nucleotide,87.79744720458984,0.8564488253948216,3775.4375,18.411846560027595,0.02325490680340751,-1,Java
22, mandelbrot,72.35687637329102,0.7357616947763568,3265.6875,26.404826145044016,0.02215670555535121,-1,Java
23, n-body,37.02509689331055,0.2388097111206651,4055.9375,12.391876119054773,0.009128616230726076,-1,Java
24, regex-redux,94.47437286376953,0.7571124783320732,4315.5625,45.6275256150276,0.021891554777336564,-1,Java
25, reverse-complement,7.980781555175781,0.06391939293802842,753.0625,6.950438385454547,0.010597767854827165,-1,Java
26, spectral-norm,11.935920715332031,0.17631351217480667,571.0625,15.761776351350758,0.020901251115827132,-1,Java
27, binary-trees,772.7723922729492,2.2526376453807178,29991.625,135.7202430553379,0.025766272826929157,-1,Python
28, fannkuch-redux,6901.0360679626465,91.86342121403239,226162.6875,1971.2829172505276,0.030513592424314673,-1,Python
29, fasta,438.32841873168945,1.4180786304714657,41143.75,87.34164241643272,0.01065358453548083,-1,Python
30, k-nucleotide,1002.52880859375,2.906152332703542,35089.875,144.23629700945597,0.028570315756147605,-1,Python
31, mandelbrot,3675.243869781494,12.30059827867623,114435.3125,214.62226082992882,0.03211634406802091,-1,Python
32, n-body,2680.7188873291016,13.046173249478889,233811.1875,911.8872064810154,0.011465314880747961,-1,Python
33, regex-redux,110.1390151977539,0.3049350879396444,7103.25,15.650479225889539,0.015505439791328464,-1,Python
34, reverse-complement,19.72952651977539,0.066733947082153,1365.6875,5.095570993519765,0.014446589369658425,-1,Python
