,nome,consumo_medio,desvio_consumo,tempo_medio,desvio_tempo,slope_individual,power
48, k-nucleotide,15.400625000000002,0.11393357439754065,0.0062682499999999995,2.4032530037430457e-05,2456.925776731943,2
49, mandelbrot,9.256875,0.0708624327482482,0.0033685625,1.1050841314126232e-05,2748.01937028035,2
50, n-body,9.135625000000001,0.0717607788070897,0.0046485,2.958673689341231e-05,1965.2845003764658,2
51, regex-redux,8.365,0.09130991183874823,0.0042705,5.505678886386314e-05,1958.787027280178,2
52, reverse-complement,0.74125,0.007806247497998005,0.000380625,2.0271593425283503e-06,1947.454844006568,2
53, spectral-norm,3.899375,0.05080215915687056,0.0016016875,9.176864592550098e-06,2434.5416943067858,2
54, binary-trees,20.21875,0.2010558069293201,0.006763625,4.922381918339941e-05,2989.3363396107857,2
55, fannkuch-redux,119.55687499999999,1.5748480829511784,0.037143375,0.0004907095468553671,3218.7940648904414,2
56, fasta,10.236875000000001,0.06761275304999775,0.004415875,1.3080878219752597e-05,2318.1985450222214,2
57, k-nucleotide,46.8575,0.26006008921016754,0.016961625,7.298533671224633e-05,2762.5596014532807,2
58, mandelbrot,38.971875,0.47237721618956185,0.0142961875,2.4988044016089207e-05,2726.0327272568297,2
59, n-body,20.736875,0.20327686630553912,0.010542125,0.0001066447812834738,1967.048863488149,2
60, regex-redux,49.486875,0.6317111558101532,0.0187343125,0.0002507498052716094,2641.510063419728,2
61, reverse-complement,4.254375,0.031418296818891946,0.00222375,0.00018129516678610044,1913.1534569983135,2
62, spectral-norm,6.63125,0.07218682358990466,0.0025108125,1.2773110183115217e-05,2641.0773405023274,2
63, binary-trees,366.78499999999997,3.2384583523645976,0.1144825625,0.0003405032982127329,3203.8503680418576,2
64, fannkuch-redux,3465.911875,37.40590314688806,1.021724625,0.0020411429664222375,3392.2172278073454,2
65, fasta,219.50937499999998,1.3057539428908487,0.11180456250000001,0.0006579982873030523,1963.3311028787396,2
66, k-nucleotide,447.123125,3.6642098717697635,0.13797150000000002,0.0009717782668901386,3240.6919182584807,2
67, mandelbrot,1805.7199999999998,17.08336508127133,0.5154011875000001,0.0011758463026023851,3503.5231656310443,2
68, n-body,1352.00625,22.345553493648392,0.68827025,0.011253012799357335,1964.3537549385578,2
69, regex-redux,57.63,0.7060807319280136,0.0263095625,0.0002901615861787188,2190.458317199307,2
70, reverse-complement,10.323125,0.10522112133502454,0.0052489375,6.24304300301543e-05,1966.7075479561338,2
71, spectral-norm,1237.9375,7.270798185206351,0.3601923125,0.0011206269851488275,3436.8792920865017,2
72, binary-trees,14.555,0.04743416490252593,0.0014718124999999998,5.28226691393004e-06,9889.167268249184,10
73, fannkuch-redux,30.541875,0.03320744457196288,0.003065625,3.4977671449083323e-06,9962.69113149847,10
74, fasta,5.44875,0.05840323193111829,0.0006634375,4.960783708246228e-07,8212.906264719737,10
75, k-nucleotide,43.313125,0.40947708650790265,0.004347625000000001,4.161261076885231e-05,9962.479514677552,10
76, mandelbrot,14.02625,0.012686114456365213,0.00140675,1.984313483298471e-06,9970.677092589302,10
77, n-body,16.678125,0.0379504199581513,0.0017238750000000001,3.2185982973959236e-06,9674.787905155536,10
78, regex-redux,9.365625000000001,0.029361699116365873,0.0009437499999999999,4.408798022137098e-06,9923.841059602652,10
79, reverse-complement,0.9475,0.026575364531836603,0.00011262500000000001,2.1176342932621762e-06,8412.874583795781,10
80, spectral-norm,4.85,0.011726039399558703,0.000484875,1.1110243021644554e-06,10002.577984016498,10
81, binary-trees,12.7975,0.2602522814501345,0.0013145625000000002,2.7228130559221282e-05,9735.178053534919,10
82, fannkuch-redux,49.963125,0.053469471429966234,0.0050131875,5.4568620790708005e-06,9966.338781463888,10
83, fasta,7.01,0.00790569415042078,0.000703625,8.569568250501256e-07,9962.693195949547,10
84, k-nucleotide,23.5,0.1656426877347742,0.0023896250000000003,1.6147271441330296e-05,9834.179002981638,10
85, mandelbrot,11.198125000000001,0.014670868242882346,0.001125875,1.4947825928876806e-06,9946.152992117244,10
86, n-body,17.292499999999997,0.061593424973774576,0.001735,6.264982043070826e-06,9966.85878962536,10
87, regex-redux,12.4075,0.07814249804043895,0.0012533125,7.887638667560787e-06,9899.765621104074,10
88, reverse-complement,1.558125,0.010135796712641794,0.00016106250000000002,8.267972847076822e-07,9674.039580908031,10
89, spectral-norm,4.85125,0.014086784586980837,0.0004854375,1.1709371246996874e-06,9993.562508046865,10
90, binary-trees,31.31625,0.37250629189317136,0.0031715000000000003,4.168333000133272e-05,9874.270849755636,10
91, fannkuch-redux,131.995625,3.316626615911866,0.013258875,0.00033205795333796794,9955.2658125218,10
92, fasta,13.107500000000002,0.05782516753110193,0.0013484375,1.8661352945325252e-05,9720.50984936269,10
93, k-nucleotide,56.3775,0.27709429802866803,0.0057205625,2.9336344246514387e-05,9855.237137956276,10
94, mandelbrot,46.07875,0.36446664799402423,0.0046498749999999995,3.162845830893428e-05,9909.674991263208,10
95, n-body,37.473749999999995,0.12594021399060748,0.0040461874999999994,1.0904235129067998e-05,9261.496161510064,10
96, regex-redux,60.183125000000004,0.559125642744992,0.006101499999999999,5.627277316784736e-05,9863.660575268379,10
97, reverse-complement,7.5225,0.01920286436967148,0.0007880000000000001,2.958039891549809e-06,9546.319796954314,10
98, spectral-norm,7.86375,0.040907670429883934,0.0008135,1.5215124054702946e-05,9666.564228641671,10
99, binary-trees,441.290625,1.8171491021308603,0.0449596875,0.00018784691864321318,9815.251162499739,10
100, fannkuch-redux,4048.5012500000003,32.04353969113746,0.40642649999999997,0.003218869677386764,9961.213774200256,10
101, fasta,426.33625,1.2615708214365169,0.042799937499999996,0.00012696823852345948,9961.141882508591,10
102, k-nucleotide,554.953125,1.364765175543039,0.055711874999999994,0.00013864652673255067,9961.128125736212,10
103, mandelbrot,2151.4700000000003,5.1801906335578005,0.21597425,0.0005124590837325436,9961.696822653628,10
104, n-body,2487.1012499999997,9.841614371509326,0.24968993750000001,0.0009882681486285802,9960.75883114032,10
105, regex-redux,87.148125,0.13611662049507414,0.008772687500000001,1.3796370673115447e-05,9934.028198314369,10
106, reverse-complement,15.885,0.05350233639758178,0.0015966875,4.908140559315713e-06,9948.721963439933,10
107, spectral-norm,1477.00625,5.268277558889617,0.14828225,0.0005400220481609979,9960.775817739479,10
108, binary-trees,16.68875,0.09239013746066141,0.0011988125,8.048437348330445e-06,13921.067723267815,15
109, fannkuch-redux,36.420625,0.025609751560685682,0.0024375,1.8027756377320683e-06,14941.794871794873,15
110, fasta,5.463125,0.060695834906523936,0.0006636875,9.164298936634586e-07,8231.471890008475,15
111, k-nucleotide,51.765625,0.4432404645054427,0.0035645625,3.143836976928035e-05,14522.294110427296,15
112, mandelbrot,17.487499999999997,0.012500000000000578,0.0011681875,8.816709987290994e-07,14969.771547803753,15
113, n-body,16.683125,0.03348857081154678,0.0017226875,4.6351240544343995e-07,9684.359467401951,15
114, regex-redux,10.817499999999999,0.01887458608817669,0.0008070624999999999,1.2484365222148894e-06,13403.546813288933,15
115, reverse-complement,1.1487499999999997,0.012686114456365286,0.000105125,6.959705453537549e-07,10927.46730083234,15
116, spectral-norm,5.953749999999999,0.015360257159305753,0.00039725000000000003,9.68245836551862e-07,14987.413467589677,15
117, binary-trees,15.151875,0.5210952258224978,0.001067125,3.5498019310941854e-05,14198.78177345672,15
118, fannkuch-redux,62.725,0.04373213921133938,0.0041924375,2.8932842497756177e-06,14961.46334918529,15
119, fasta,7.8025,0.029685855217594852,0.000658875,4.841229182759388e-07,11842.155188768736,15
120, k-nucleotide,30.480625,0.20986509803919307,0.0022094999999999997,1.9480759738778162e-05,13795.259108395567,15
121, mandelbrot,13.7925,0.017853571071357443,0.00093,1.3228756555322865e-06,14830.645161290322,15
122, n-body,17.241875,0.06635310373298298,0.001711125,4.841229182759179e-07,10076.338666082256,15
123, regex-redux,13.5825,0.09337424698491548,0.001114,9.219544457292874e-06,12192.549371633751,15
124, reverse-complement,1.6275,0.010307764064044064,0.0001588125,6.343057228182683e-07,10247.933884297521,15
125, spectral-norm,6.0962499999999995,0.011110243021644624,0.000407125,9.270248108869603e-07,14973.902364138778,15
126, binary-trees,42.40875,0.3885851740609761,0.0029313125,3.2820951292581384e-05,14467.495362572226,15
127, fannkuch-redux,162.46124999999998,2.5314666573944873,0.010879625,0.00017037600880112202,14932.614864942494,15
128, fasta,16.331875,0.1291423028097303,0.001120125,2.006824294750291e-05,14580.403972770895,15
129, k-nucleotide,65.72625,0.32614940978024104,0.0046559999999999995,2.4374679485072203e-05,14116.46262886598,15
130, mandelbrot,57.333124999999995,0.5979100972345263,0.0038540625,4.244918837563326e-05,14876.023676315575,15
131, n-body,37.693124999999995,0.1531224489583421,0.0040423125,1.088989640676157e-05,9324.644000185537,15
132, regex-redux,71.21249999999999,0.592025126155977,0.0051643125000000005,4.189677605436966e-05,13789.347565624657,15
133, reverse-complement,8.0,0.018708286933869427,0.00075425,1.4790199457749123e-06,10606.562810739144,15
134, spectral-norm,9.608125000000001,0.12972175752355497,0.000666375,8.52111348357713e-06,14418.495591821424,15
135, binary-trees,535.5187500000001,2.8627955633436284,0.0375326875,0.00017995024268877807,14268.063005080572,15
136, fannkuch-redux,4606.068125,12.225270558739279,0.308211125,0.0009077898211452937,14944.522606054536,15
137, fasta,436.82062499999995,1.9875282034162407,0.0411726875,0.0002004818317048951,10609.475638431422,15
138, k-nucleotide,660.510625,2.2500346351500826,0.0443610625,0.00015329198802856527,14889.42301596135,15
139, mandelbrot,2385.5600000000004,11.41118092048316,0.1594391875,0.0007684145380871908,14962.193657691592,15
140, n-body,2677.560625,15.631626382413808,0.23402125000000001,0.0013532179933403174,11441.527745877778,15
141, regex-redux,93.1075,0.2200426095100683,0.007712562499999999,1.086835285358375e-05,12072.187421495775,15
142, reverse-complement,17.458125000000003,0.04447172556805064,0.0014314375,1.999023198964917e-06,12196.218835960357,15
143, spectral-norm,1642.2862499999999,3.1273908354249547,0.1098243125,0.00020712065286626881,14953.758531381656,15
144, binary-trees,20.552500000000002,0.0566237582645313,0.0010236874999999999,2.7321866242992826e-06,20076.92777336834,25
145, fannkuch-redux,47.595,0.05350233639758143,0.001968625,9.921567416491073e-07,24176.7731284526,25
146, fasta,5.4475,0.050806003582253866,0.0006635625000000001,6.091746465505751e-07,8209.475369690119,25
147, k-nucleotide,66.97625000000001,0.6416373099345136,0.003138375,4.967503774533041e-05,21341.060262078307,25
148, mandelbrot,22.99625,0.0435710626448328,0.000944375,4.841229182759388e-07,24350.761085373924,25
149, n-body,16.591250000000002,0.033142683958907036,0.0017227499999999999,4.330127018921829e-07,9630.677695544915,25
150, regex-redux,13.1725,0.02586020108197111,0.000711375,9.270248108869338e-07,18516.95659813741,25
151, reverse-complement,1.32,0.011726039399558585,0.0001043125,8.454843286542958e-07,12654.284002396646,25
152, spectral-norm,7.95,0.01322875655532284,0.0003185625,4.960783708246228e-07,24955.856386109477,25
153, binary-trees,20.140625,0.815969275999409,0.0009286875,4.1062024350365394e-05,21687.192947035466,25
154, fannkuch-redux,77.44437500000001,0.09753004344816006,0.0035265625,1.8697844127065041e-06,21960.30128489145,25
155, fasta,7.6899999999999995,0.02524876234590523,0.00065875,4.3301270189222987e-07,11673.624288425046,25
156, k-nucleotide,36.565625,0.21362843765519612,0.002107625,1.7116786351415383e-05,17349.208232014706,25
157, mandelbrot,18.39,0.021505813167607038,0.000754125,9.270248108869804e-07,24385.8776727996,25
158, n-body,17.127499999999998,0.023584952830141573,0.001711125,5.994789404140904e-07,10009.496676163342,25
159, regex-redux,15.491249999999999,0.07991206104212314,0.0010368125,1.077159894119719e-05,14941.226113689794,25
160, reverse-complement,1.600625,0.011439378261076964,0.000159,6.123724356958012e-07,10066.82389937107,25
161, spectral-norm,7.32,0.018708286933869694,0.00035268750000000003,4.6351240544349024e-07,20754.91759702286,25
162, binary-trees,58.84,0.341851575979986,0.00279225,2.9433187051354133e-05,21072.61169307906,25
163, fannkuch-redux,213.469375,5.032224245736172,0.008632312500000001,0.00020140901132707523,24729.10648218539,25
164, fasta,19.228125,0.33468677054075513,0.0010854375,3.8404050486244295e-05,17714.631197097944,25
165, k-nucleotide,84.76125,0.55595497794336,0.003905375,2.782057467055624e-05,21703.741638126943,25
166, mandelbrot,73.12125,0.367965266703258,0.0032658125,1.0932856157015808e-05,22389.910627141027,25
167, n-body,37.363125,0.16928964639043909,0.0040408125,1.0678358663670956e-05,9246.438680339657,25
168, regex-redux,90.0075,0.8318991825936619,0.004413125,3.989184597132609e-05,20395.411414813763,25
169, reverse-complement,8.05375,0.029973947020704585,0.0007475,9.999999999999803e-07,10774.247491638796,25
170, spectral-norm,11.904375,0.16624412583607312,0.0005755000000000001,2.5956694704834827e-05,20685.27367506516,25
171, binary-trees,699.58875,1.5822526465454139,0.032042875,0.0002022661844575118,21832.895768560094,25
172, fannkuch-redux,6110.50625,14.742678214540902,0.24574574999999999,0.0005852113400302463,24865.15534856656,25
173, fasta,442.090625,3.0783304499963955,0.041180812500000004,0.00017405610401175208,10735.35460234059,25
174, k-nucleotide,910.645,4.634768063236817,0.037085187500000005,0.00020694269096479233,24555.491326557265,25
175, mandelbrot,3193.9,8.12230185969472,0.1280366875,0.00032564219604306683,24945.193931231624,25
176, n-body,2703.060625,33.61100907231692,0.2346166875,0.0037826557257889266,11521.178027884313,25
177, regex-redux,106.46812499999999,0.22204219052918903,0.0072238125,1.4200434632432876e-05,14738.495081371504,25
178, reverse-complement,19.61375,0.0370599177009346,0.0013630625000000001,2.461421083439373e-06,14389.472236232747,25
179, spectral-norm,2212.6549999999997,6.301608921537399,0.088803625,0.00026249497018990687,24916.268902311138,25
