,nome,consumo_medio,desvio_consumo,tempo_medio,desvio_tempo,slope_individual,power
0, binary-trees,22.481250000000003,0.12419113293629316,0.000975375,6.081478027585062e-06,23048.827374086894,-1
1, fannkuch-redux,47.75,0.0940744386111342,0.0019683749999999996,5.99478940413983e-07,24258.588937575416,-1
2, fasta,5.478125,0.038926011547550016,0.0006636875,5.829611908180455e-07,8254.07288821923,-1
3, k-nucleotide,69.24812500000002,0.9432206710918709,0.0029161874999999995,7.75348459968162e-05,23746.115433249757,-1
4, mandelbrot,23.200625,0.09503083381197952,0.000944375,7.806247497998188e-07,24567.17405691595,-1
5, n-body,16.816875000000003,0.07015329197550191,0.0017227499999999999,6.614378277661432e-07,9761.64562472791,-1
6, regex-redux,13.7975,0.03897114317029991,0.0006953125,1.2103072956898471e-06,19843.595505617977,-1
7, reverse-complement,1.3250000000000002,0.007905694150420955,0.0001035,7.905694150420959e-07,12801.93236714976,-1
8, spectral-norm,8.314375,0.01836053852696053,0.0003060625,6.584783595532974e-07,27165.611598938125,-1
9, binary-trees,21.454375,0.7854216124954799,0.0008546875000000001,5.579170945355592e-05,25102.010968921386,-1
10, fannkuch-redux,77.81312500000001,0.09537549147972992,0.003528125,4.04467242184083e-06,22055.093002657224,-1
11, fasta,7.718125000000001,0.03186274274132723,0.0006588125,3.903123748999094e-07,11715.207285836259,-1
12, k-nucleotide,36.9225,0.21827448316282894,0.0020871874999999996,1.72417326203024e-05,17690.073364276093,-1
13, mandelbrot,18.814999999999998,0.029154759474226605,0.0007415,6.123724356957928e-07,25374.241402562373,-1
14, n-body,17.55625,0.045672064766112644,0.001711125,4.841229182759179e-07,10260.062824165387,-1
15, regex-redux,15.99,0.06254998001598373,0.0010249374999999998,1.0274171195283854e-05,15600.951277516924,-1
16, reverse-complement,1.6162500000000002,0.00780624749799798,0.00015825,5.590169943749458e-07,10213.270142180096,-1
17, spectral-norm,7.352499999999999,0.024622144504490365,0.00035306249999999997,1.0879309490955776e-06,20824.924765445212,-1
18, binary-trees,59.98375,0.5551337113705134,0.0027798125,1.7241732620302433e-05,21578.343863120263,-1
19, fannkuch-redux,232.4975,5.005376484341615,0.0080774375,0.00015912101084944753,28783.571522528033,-1
20, fasta,19.295625,0.320136079464655,0.0010735625,2.3640454601170456e-05,17973.452873027887,-1
21, k-nucleotide,88.28625,0.9576525661741848,0.003763125,3.2324284601519e-05,23460.886895864474,-1
22, mandelbrot,73.05375000000001,0.501832579153646,0.0032614375,2.234940924834482e-05,22399.248797501103,-1
23, n-body,37.588125000000005,0.1419603267642056,0.004057,1.0954451150103548e-05,9265.004929751049,-1
24, regex-redux,94.93062499999999,0.7195872840559367,0.004279875000000001,2.759727115132953e-05,22180.70037092204,-1
25, reverse-complement,8.181249999999999,0.03314268395890715,0.0007510625,1.0662250876339384e-05,10892.901722559705,-1
26, spectral-norm,11.86375,0.19908776331055603,0.0005685625000000001,3.2361181896679845e-05,20866.21963284599,-1
27, binary-trees,780.884375,3.3092936722773527,0.030119812500000002,0.0002048072931898423,25925.937453959912,-1
28, fannkuch-redux,6893.01375,30.83918912581023,0.2256173125,0.0009787763226824344,30551.794424020543,-1
29, fasta,441.38687500000003,3.1325922148238425,0.04118125,0.00010567550567657605,10718.151464562148,-1
30, k-nucleotide,1003.41375,2.184447513102575,0.034959375,8.554229582493062e-05,28702.279431482973,-1
31, mandelbrot,3685.815625,13.418116004468493,0.11432587500000001,0.00028499931469215957,32239.557536734355,-1
32, n-body,2678.561875,7.4168568298421125,0.23353125,0.0008845706938961962,11469.822025960122,-1
33, regex-redux,109.596875,0.4358571834615108,0.0071103125,1.1378261894946868e-05,15413.791587922471,-1
34, reverse-complement,19.591875,0.08194653363626846,0.0013595625,2.805546960932931e-06,14410.426148117502,-1
35, spectral-norm,2553.540625,10.299507554217074,0.07955343749999999,0.0002594019489012166,32098.43226447632,-1
36, binary-trees,10.506875,0.1396745659560107,0.0042104375,0.00029719479486315026,2495.435450591536,2
37, fannkuch-redux,23.192500000000003,0.5245652962215475,0.008927,2.0031225624010047e-05,2598.017251036183,2
38, fasta,2.9974999999999996,0.03249999999999993,0.001534125,1.556789565098636e-05,1953.8825063146744,2
39, k-nucleotide,32.5575,0.18719975961523017,0.0112310625,4.995181271735789e-05,2898.8797809646235,2
40, mandelbrot,11.456875,0.13750994282232806,0.004279812500000001,2.8770373216209466e-06,2676.957226514012,2
41, n-body,8.684999999999999,0.04650268809434556,0.0044234375,2.5551342308184124e-05,1963.4051571882724,2
42, regex-redux,7.009375,0.11845192854065315,0.0031173125000000003,4.739709247411707e-06,2248.5313872125425,2
43, reverse-complement,0.5475000000000001,0.0075000000000000075,0.0003133125,3.123843536014569e-05,1747.4566128067029,2
44, spectral-norm,4.191875,0.01666536453246674,0.0013864999999999997,5.2321123841141134e-06,3023.3501622791205,2
45, binary-trees,10.555,0.1257477633995928,0.00348225,4.8313429809940016e-05,3031.0862229880104,2
46, fannkuch-redux,41.10875,0.216618183678102,0.015984875,1.0307006112349364e-05,2571.7279615886896,2
47, fasta,4.213125,0.018946882989030106,0.0021521875,1.0339358962237461e-05,1957.601277769711,2
