,experiment,language,benchmark,power_limit,mean_PSys,mean_user_time,mean_system_time,mean_cpu_time_ms
0,mult,C,binary-trees,-1,36.73285714285714,2633.0,200.07142857142858,2833.0714285714284
1,mult,C,binary-trees,1,57.890714285714296,11698.214285714286,918.3571428571429,12616.57142857143
2,mult,C,binary-trees,2,51.16142857142857,11348.142857142857,585.7857142857143,11933.92857142857
3,mult,C,binary-trees,4,43.09214285714285,9415.285714285714,394.57142857142856,9809.857142857143
4,mult,C,binary-trees,8,33.90071428571429,5386.0,260.57142857142856,5646.571428571428
5,mult,C,binary-trees,10,32.333571428571425,4562.714285714285,232.78571428571428,4795.5
6,mult,C,binary-trees,15,32.80428571428571,3510.0,215.57142857142858,3725.5714285714284
7,mult,C,binary-trees,25,35.37285714285714,2859.9285714285716,207.14285714285714,3067.071428571429
8,mult,C,fannkuch-redux,-1,75.61499999999998,7811.571428571428,0.6428571428571429,7812.214285714285
9,mult,C,fannkuch-redux,1,113.78928571428571,35373.5,3.5,35377.0
10,mult,C,fannkuch-redux,2,113.77642857142855,35351.5,1.6428571428571428,35353.142857142855
11,mult,C,fannkuch-redux,4,85.36071428571428,24129.714285714286,0.42857142857142855,24130.14285714286
12,mult,C,fannkuch-redux,8,67.53357142857142,14441.642857142857,0.42857142857142855,14442.071428571428
13,mult,C,fannkuch-redux,10,64.42785714285715,12375.714285714286,0.8571428571428571,12376.57142857143
14,mult,C,fannkuch-redux,15,68.19142857142859,9733.214285714286,0.7142857142857143,9733.928571428572
15,mult,C,fannkuch-redux,25,75.57785714285716,7816.357142857143,0.14285714285714285,7816.5
16,mult,C,fasta,-1,12.50357142857143,648.5714285714286,14.0,662.5714285714286
17,mult,C,fasta,1,29.005,2613.714285714286,60.357142857142854,2674.0714285714284
18,mult,C,fasta,2,17.687857142857144,1430.7142857142858,32.857142857142854,1463.5714285714287
19,mult,C,fasta,4,13.082857142857142,902.5,19.857142857142858,922.3571428571429
20,mult,C,fasta,8,12.43857142857143,656.2857142857143,13.428571428571429,669.7142857142858
21,mult,C,fasta,10,12.352142857142857,649.9285714285714,13.571428571428571,663.5
22,mult,C,fasta,15,12.285714285714286,646.1428571428571,16.428571428571427,662.5714285714286
23,mult,C,fasta,25,12.296428571428573,649.0,13.857142857142858,662.8571428571429
24,mult,C,k-nucleotide,-1,113.5007142857143,9135.357142857143,100.21428571428571,9235.57142857143
25,mult,C,k-nucleotide,1,153.31428571428572,37343.857142857145,427.7142857142857,37771.57142857143
26,mult,C,k-nucleotide,2,146.2757142857143,36817.5,246.14285714285714,37063.642857142855
27,mult,C,k-nucleotide,4,122.73785714285714,29543.5,156.21428571428572,29699.714285714286
28,mult,C,k-nucleotide,8,99.87714285714286,17493.714285714286,111.64285714285714,17605.357142857145
29,mult,C,k-nucleotide,10,95.09071428571428,14913.357142857143,104.0,15017.357142857143
30,mult,C,k-nucleotide,15,102.71357142857141,11777.214285714286,99.92857142857143,11877.142857142857
31,mult,C,k-nucleotide,25,115.28857142857143,9945.42857142857,99.0,10044.42857142857
32,mult,C,mandelbrot,-1,36.69857142857143,3760.714285714286,12.5,3773.214285714286
33,mult,C,mandelbrot,1,54.56857142857143,17030.285714285714,60.857142857142854,17091.142857142855
34,mult,C,mandelbrot,2,54.31285714285713,17011.14285714286,67.28571428571429,17078.428571428572
35,mult,C,mandelbrot,4,40.248571428571424,11342.357142857143,42.714285714285715,11385.07142857143
36,mult,C,mandelbrot,8,31.954285714285714,6831.928571428572,23.357142857142858,6855.285714285715
37,mult,C,mandelbrot,10,32.3107142857143,5681.428571428572,21.5,5702.928571428572
38,mult,C,mandelbrot,15,32.614999999999995,4658.928571428572,15.357142857142858,4674.285714285715
39,mult,C,mandelbrot,25,36.46857142857143,3761.1428571428573,15.071428571428571,3776.214285714286
40,mult,C,n-body,-1,35.277857142857144,1721.857142857143,0.21428571428571427,1722.0714285714287
41,mult,C,n-body,1,88.43214285714285,8216.5,2.642857142857143,8219.142857142857
42,mult,C,n-body,2,50.229285714285716,4155.5,1.2857142857142858,4156.785714285715
43,mult,C,n-body,4,37.29214285714285,2637.714285714286,0.5,2638.214285714286
44,mult,C,n-body,8,34.737857142857145,1880.7857142857142,0.14285714285714285,1880.9285714285713
45,mult,C,n-body,10,34.64857142857142,1722.0714285714287,0.14285714285714285,1722.2142857142858
46,mult,C,n-body,15,34.46642857142857,1722.0,0.2857142857142857,1722.2857142857142
47,mult,C,n-body,25,34.87785714285714,1721.9285714285713,0.07142857142857142,1722.0
48,mult,C,regex-redux,-1,23.374285714285715,1759.357142857143,80.5,1839.857142857143
49,mult,C,regex-redux,1,38.61714285714286,7914.642857142857,334.42857142857144,8249.071428571428
50,mult,C,regex-redux,2,32.89785714285715,7381.5,266.0,7647.5
51,mult,C,regex-redux,4,25.897142857142857,5408.928571428572,184.07142857142858,5593.0
52,mult,C,regex-redux,8,21.244285714285716,3224.6428571428573,121.71428571428571,3346.357142857143
53,mult,C,regex-redux,10,20.815714285714282,2756.1428571428573,108.07142857142857,2864.214285714286
54,mult,C,regex-redux,15,21.157857142857146,2203.4285714285716,93.92857142857143,2297.357142857143
55,mult,C,regex-redux,25,22.88071428571428,1830.2857142857142,87.14285714285714,1917.4285714285713
56,mult,C,reverse-complement,-1,2.750714285714286,66.57142857142857,84.92857142857143,151.5
57,mult,C,reverse-complement,1,4.277142857142857,171.21428571428572,293.85714285714283,465.07142857142856
58,mult,C,reverse-complement,2,3.2550000000000003,151.92857142857142,195.42857142857142,347.35714285714283
59,mult,C,reverse-complement,4,2.5271428571428567,121.85714285714286,126.5,248.35714285714286
60,mult,C,reverse-complement,8,2.4171428571428573,81.07142857142857,99.5,180.57142857142856
61,mult,C,reverse-complement,10,2.4535714285714283,72.92857142857143,93.07142857142857,166.0
62,mult,C,reverse-complement,15,2.591428571428572,68.92857142857143,88.0,156.92857142857144
63,mult,C,reverse-complement,25,2.8107142857142855,68.5,87.64285714285714,156.14285714285714
64,mult,C,spectral-norm,-1,12.837857142857144,1220.5,0.21428571428571427,1220.7142857142858
65,mult,C,spectral-norm,1,18.239285714285717,5528.714285714285,2.5714285714285716,5531.285714285714
66,mult,C,spectral-norm,2,18.005,5517.714285714285,1.7142857142857142,5519.428571428571
67,mult,C,spectral-norm,4,14.29857142857143,4038.714285714286,1.1428571428571428,4039.857142857143
68,mult,C,spectral-norm,8,11.115714285714287,2375.714285714286,0.14285714285714285,2375.857142857143
69,mult,C,spectral-norm,10,11.261428571428572,1976.7857142857142,1.0,1977.7857142857142
70,mult,C,spectral-norm,15,11.105714285714285,1587.857142857143,0.21428571428571427,1588.0714285714287
71,mult,C,spectral-norm,25,12.518571428571429,1280.2857142857142,0.14285714285714285,1280.4285714285713
72,mult,C++,binary-trees,-1,35.82357142857143,2899.285714285714,174.28571428571428,3073.5714285714284
73,mult,C++,binary-trees,1,47.185714285714276,11211.0,568.2142857142857,11779.214285714286
74,mult,C++,binary-trees,2,43.87357142857143,11079.785714285714,422.7142857142857,11502.5
75,mult,C++,binary-trees,4,38.01,9234.0,298.92857142857144,9532.92857142857
76,mult,C++,binary-trees,8,29.93285714285714,5399.214285714285,218.78571428571428,5618.0
77,mult,C++,binary-trees,10,28.874999999999996,4632.071428571428,184.0,4816.071428571428
78,mult,C++,binary-trees,15,30.42785714285714,3680.714285714286,179.0,3859.714285714286
79,mult,C++,binary-trees,25,34.20642857142857,3087.8571428571427,166.42857142857142,3254.285714285714
80,mult,C++,fannkuch-redux,-1,128.29428571428573,13996.0,0.5714285714285714,13996.57142857143
81,mult,C++,fannkuch-redux,1,201.4471428571429,63381.0,6.0,63387.0
82,mult,C++,fannkuch-redux,2,199.6392857142857,63384.0,3.7142857142857144,63387.71428571428
83,mult,C++,fannkuch-redux,4,140.6585714285714,39507.71428571428,1.0,39508.71428571428
84,mult,C++,fannkuch-redux,8,113.28214285714287,24295.571428571428,1.5714285714285714,24297.142857142855
85,mult,C++,fannkuch-redux,10,114.01214285714285,20173.714285714286,2.0,20175.714285714286
86,mult,C++,fannkuch-redux,15,117.06071428571431,16647.85714285714,1.3571428571428572,16649.214285714283
87,mult,C++,fannkuch-redux,25,127.14999999999999,13995.785714285714,0.2857142857142857,13996.071428571428
88,mult,C++,fasta,-1,16.482857142857142,1305.142857142857,5.714285714285714,1310.857142857143
89,mult,C++,fasta,1,34.69357142857144,6074.785714285715,28.642857142857142,6103.428571428572
90,mult,C++,fasta,2,24.255000000000003,3997.6428571428573,17.071428571428573,4014.714285714286
91,mult,C++,fasta,4,16.71142857142857,2310.6428571428573,9.857142857142858,2320.5
92,mult,C++,fasta,8,16.05,1548.857142857143,6.071428571428571,1554.9285714285716
93,mult,C++,fasta,10,16.03857142857143,1406.142857142857,6.928571428571429,1413.0714285714284
94,mult,C++,fasta,15,16.149285714285714,1304.9285714285713,6.142857142857143,1311.0714285714284
95,mult,C++,fasta,25,16.279285714285713,1305.0,6.0,1311.0
96,mult,C++,k-nucleotide,-1,70.28999999999998,6613.571428571428,156.85714285714286,6770.428571428572
97,mult,C++,k-nucleotide,1,84.59714285714287,17665.85714285714,667.2142857142857,18333.071428571428
98,mult,C++,k-nucleotide,2,74.47428571428573,16945.64285714286,384.85714285714283,17330.5
99,mult,C++,k-nucleotide,4,61.67142857142858,13066.785714285714,240.5,13307.285714285714
100,mult,C++,k-nucleotide,8,53.53714285714285,8412.285714285714,174.64285714285714,8586.92857142857
101,mult,C++,k-nucleotide,10,56.8657142857143,7760.428571428572,158.5,7918.928571428572
102,mult,C++,k-nucleotide,15,62.42928571428571,7009.285714285715,163.71428571428572,7173.0
103,mult,C++,k-nucleotide,25,68.76071428571427,6607.857142857143,158.57142857142858,6766.428571428572
104,mult,C++,mandelbrot,-1,29.600714285714282,2888.3571428571427,14.571428571428571,2902.928571428571
105,mult,C++,mandelbrot,1,43.21,13087.285714285714,65.14285714285714,13152.42857142857
106,mult,C++,mandelbrot,2,42.077142857142846,13035.0,60.42857142857143,13095.42857142857
107,mult,C++,mandelbrot,4,31.78285714285715,8833.92857142857,38.57142857142857,8872.5
108,mult,C++,mandelbrot,8,27.0,5143.142857142857,22.928571428571427,5166.071428571428
109,mult,C++,mandelbrot,10,25.801428571428577,4488.428571428572,21.071428571428573,4509.5
110,mult,C++,mandelbrot,15,25.907857142857136,3666.3571428571427,15.214285714285714,3681.5714285714284
111,mult,C++,mandelbrot,25,29.116428571428568,2968.1428571428573,13.428571428571429,2981.571428571429
112,mult,C++,n-body,-1,36.11785714285714,1710.642857142857,0.2857142857142857,1710.9285714285713
113,mult,C++,n-body,1,88.52357142857143,8162.142857142857,2.0,8164.142857142857
114,mult,C++,n-body,2,51.77857142857143,4345.642857142857,1.0,4346.642857142857
115,mult,C++,n-body,4,37.90857142857142,2665.4285714285716,0.5,2665.9285714285716
116,mult,C++,n-body,8,35.44142857142857,1901.0714285714287,0.35714285714285715,1901.4285714285716
